year,percentage_of_playoff_QBs_with_16+_games
2013,75.0
2014,75.0
2015,66.66666666666666
2016,50.0
2017,50.0
2018,83.33333333333334
2019,58.333333333333336
2020,57.14285714285714
2021,78.57142857142857
2022,64.28571428571429
2023,71.42857142857143
2024,78.57142857142857
